TYPE,LEN,WID,TOTAL,tCYC
dpram,1024,12,12288,2.17086
dpram,1024,32,32768,2.63815
dpram,1024,64,65536,2.71483
dpram,128,40,5120,2.14627
dpram,128,64,8192,2.19002
dpram,128,72,9216,2.2046
dpram,2048,16,32768,2.42225
dpram,2048,64,131072,2.79074
dpram,256,13,3328,2.01447
dpram,256,16,4096,2.02862
dpram,256,18,4608,2.03806
dpram,256,32,8192,2.10413
dpram,256,4,1024,1.972
dpram,256,4,1024,1.972
dpram,256,64,16384,2.24369
dpram,256,64,16384,2.24369
dpram,256,8,2048,1.99087
dpram,256,8,2048,1.99087
DPRAM,256,8,2048,1.99087
dpram,256,9,2304,1.99559
dpram,32,20,640,1.9327
dpram,32,32,1024,1.98443
dpram,32,40,1280,2.10766
dpram,32,48,1536,2.1217
dpram,32,64,2048,2.14977
dpram,32,8,256,1.88098
dpram,4096,14,57344,2.66986
dpram,4096,32,131072,2.78618
dpram,4096,36,147456,2.809
dpram,4096,4,16384,2.587
dpram,4096,8,32768,2.62014
dpram,512,16,8192,2.0794
dpram,512,16,8192,2.0794
dpram,512,4,2048,1.98553
dpram,512,64,32768,2.45183
dpram,512,8,4096,2.01682
dpram,512,8,4096,2.01682
dpram,512,8,4096,2.01682
dpram,512,8,4096,2.01682
dpram,64,16,1024,1.93163
dpram,64,24,1536,1.96657
dpram,64,32,2048,2.00152
dpram,64,64,4096,2.16318
rom,256,34,8704,2.01391
rom,256,40,10240,2.03729
rom,256,44,11264,2.05288
rom,256,44,11264,2.05288
rom,64,32,2048,1.702
rom,64,32,2048,1.702
sp,256,64,16384,2.44277
sp,4096,18,73728,2.747
sp,4096,62,253952,4.08888
sp,4096,70,286720,4.19858
sp,64,28,1792,1.83947
spram,2048,16,32768,2.552
spram,256,16,4096,1.99071
spram,256,32,8192,2.35785
spram,512,50,25600,2.51276
spram,64,64,4096,1.97818
spram,16,64, 1024,1.86406
dpram,1024,12,12288,2.17086
dpram,1024,32,32768,2.63815
dpram,1024,64,65536,2.71483
dpram,128,40,5120,2.14627
dpram,128,64,8192,2.19002
dpram,128,72,9216,2.2046
dpram,2048,16,32768,2.42225
dpram,2048,64,131072,2.79074
dpram,256,13,3328,2.01447
dpram,256,16,4096,2.02862
dpram,256,18,4608,2.03806
dpram,256,32,8192,2.10413
dpram,256,4,1024,1.972
dpram,256,4,1024,1.972
dpram,256,64,16384,2.24369
dpram,256,64,16384,2.24369
dpram,256,8,2048,1.99087
dpram,256,8,2048,1.99087
DPRAM,256,8,2048,1.99087
dpram,256,9,2304,1.99559
dpram,32,20,640,1.9327
dpram,32,32,1024,1.98443
dpram,32,40,1280,2.10766
dpram,32,48,1536,2.1217
dpram,32,64,2048,2.14977
dpram,32,8,256,1.88098
dpram,4096,14,57344,2.66986
dpram,4096,32,131072,2.78618
dpram,4096,36,147456,2.809
dpram,4096,4,16384,2.587
dpram,4096,8,32768,2.62014
dpram,512,16,8192,2.0794
dpram,512,16,8192,2.0794
dpram,512,4,2048,1.98553
dpram,512,64,32768,2.45183
dpram,512,8,4096,2.01682
dpram,512,8,4096,2.01682
dpram,512,8,4096,2.01682
dpram,512,8,4096,2.01682
dpram,64,16,1024,1.93163
dpram,64,24,1536,1.96657
dpram,64,32,2048,2.00152
dpram,64,64,4096,2.16318
rom,256,34,8704,2.01391
rom,256,40,10240,2.03729
rom,256,44,11264,2.05288
rom,256,44,11264,2.05288
rom,64,32,2048,1.702
rom,64,32,2048,1.702
sp,256,64,16384,2.44277
sp,4096,18,73728,2.747
sp,4096,62,253952,4.08888
sp,4096,70,286720,4.19858
sp,64,28,1792,1.83947
spram,2048,16,32768,2.552
spram,256,16,4096,1.99071
spram,256,32,8192,2.35785
spram,512,50,25600,2.51276
spram,64,64,4096,1.97818
